Job Title,Experience Level,Avg. Salary In Usd
3D Computer Vision Researcher,MI,5409
AI Scientist,EN,21987.25
AI Scientist,SE,55000
AI Scientist,MI,160000
Analytics Engineer,EX,155000
Analytics Engineer,SE,195000
Applied Data Scientist,MI,105619
Applied Data Scientist,EN,110037
Applied Data Scientist,SE,278500
Applied Machine Learning Scientist,EN,31875
Applied Machine Learning Scientist,MI,178800
BI Data Analyst,EN,32136
BI Data Analyst,MI,78086.333333333
BI Data Analyst,EX,150000
Big Data Architect,SE,99703
Big Data Engineer,EN,30703.333333333
Big Data Engineer,MI,33537
Big Data Engineer,SE,111535.5
Business Data Analyst,MI,74784.666666667
Business Data Analyst,EN,79551
Cloud Data Engineer,MI,89294
Cloud Data Engineer,SE,160000
Computer Vision Engineer,SE,34302.333333333
Computer Vision Engineer,EN,54536.333333333
Computer Vision Software Engineer,MI,95746
Computer Vision Software Engineer,EN,110000
Data Analyst,EN,53960.666666667
Data Analyst,MI,71699.206896552
Data Analyst,SE,111922.62962963
Data Analyst,EX,120000
Data Analytics Engineer,EN,20000
Data Analytics Engineer,SE,64598.5
Data Analytics Engineer,MI,110000
Data Analytics Lead,SE,405000
Data Analytics Manager,SE,127134.285714286
Data Architect,MI,166666.666666667
Data Architect,SE,182076.625
Data Engineer,EN,58933.5
Data Engineer,MI,85985.660377358
Data Engineer,SE,137035.841269841
Data Engineer,EX,245500
Data Engineering Manager,MI,59303
Data Engineering Manager,EX,79833
Data Engineering Manager,SE,159000
Data Science Consultant,EN,62640.8
Data Science Consultant,EX,69741
Data Science Consultant,MI,103000
Data Science Engineer,MI,40189
Data Science Engineer,SE,93610.5
Data Science Manager,SE,149994.2
Data Science Manager,MI,200000
Data Scientist,EN,55330.909090909
Data Scientist,MI,82039.133333333
Data Scientist,SE,152971.016393443
Data Specialist,SE,165000
Director of Data Engineering,SE,156738
Director of Data Science,SE,168000
Director of Data Science,EX,199586.333333333
ETL Developer,MI,54957
Finance Data Analyst,SE,61896
Financial Data Analyst,EN,100000
Financial Data Analyst,MI,450000
Head of Data,MI,32974
Head of Data,SE,151419.5
Head of Data,EX,232500
Head of Data Science,MI,110000
Head of Data Science,EX,158958.333333333
Head of Machine Learning,EX,79039
Lead Data Analyst,MI,53304.5
Lead Data Analyst,SE,170000
Lead Data Engineer,MI,56000
Lead Data Engineer,EX,118187
Lead Data Engineer,SE,166040
Lead Data Scientist,MI,115000
Lead Data Scientist,SE,115285
Lead Machine Learning Engineer,SE,87932
Machine Learning Developer,MI,78791
Machine Learning Developer,SE,78791
Machine Learning Developer,EN,100000
Machine Learning Engineer,MI,74466.583333333
Machine Learning Engineer,EN,86996.333333333
Machine Learning Engineer,SE,131176
Machine Learning Infrastructure Engineer,MI,54217.5
Machine Learning Infrastructure Engineer,SE,195000
Machine Learning Manager,SE,117104
Machine Learning Scientist,MI,109325
Machine Learning Scientist,SE,201666.666666667
Machine Learning Scientist,EN,225000
Marketing Data Analyst,SE,88654
ML Engineer,EN,18974.5
ML Engineer,MI,137025
ML Engineer,SE,256000
NLP Engineer,MI,37236
Principal Data Analyst,MI,75000
Principal Data Analyst,SE,170000
Principal Data Engineer,SE,192500
Principal Data Engineer,EX,600000
Principal Data Scientist,MI,151000
Principal Data Scientist,SE,187939.4
Principal Data Scientist,EX,416000
Product Data Analyst,MI,13036
Research Scientist,EN,86132
Research Scientist,SE,88859.4
Research Scientist,MI,136498.142857143
Staff Data Scientist,SE,105000
